ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,State Abbr [State] Latest available year,State Name [State] 2014-15,Free and Reduced Lunch Students [Public School] 2014-15,Total Students [State] 2014-15
ALABAMA,AL ,ALABAMA,384985,744164
ALASKA,AK ,ALASKA,56566,131176
ARIZONA,AZ ,ARIZONA,‡,1111695
ARKANSAS,AR ,ARKANSAS,305657,490917
CALIFORNIA,CA ,CALIFORNIA,3651148,6312161
COLORADO,CO ,COLORADO,369738,889006
CONNECTICUT,CT ,CONNECTICUT,204521,542678
DELAWARE,DE ,DELAWARE,49598,134042
DISTRICT OF COLUMBIA,DC ,DISTRICT OF COLUMBIA,74859,80958
FLORIDA,FL ,FLORIDA,1609459,2756944
GEORGIA,GA ,GEORGIA,1088688,1744437
HAWAII,HI ,HAWAII,91385,182384
IDAHO,ID ,IDAHO,141199,290885
ILLINOIS,IL ,ILLINOIS,1104382,2050239
INDIANA,IN ,INDIANA,513987,1046269
IOWA,IA ,IOWA,202288,505311
KANSAS,KS ,KANSAS,244715,497275
KENTUCKY,KY ,KENTUCKY,391714,688640
LOUISIANA,LA ,LOUISIANA,455884,716800
MAINE,ME ,MAINE,83544,182470
MARYLAND,MD ,MARYLAND,393773,874514
MASSACHUSETTS,MA ,MASSACHUSETTS,381601,955844
MICHIGAN,MI ,MICHIGAN,695479,1537922
MINNESOTA,MN ,MINNESOTA,328531,857235
MISSISSIPPI,MS ,MISSISSIPPI,361714,490917
MISSOURI,MO ,MISSOURI,470927,917785
MONTANA,MT ,MONTANA,63014,144532
NEBRASKA,NE ,NEBRASKA,138379,312635
NEVADA,NV ,NEVADA,239867,459189
NEW HAMPSHIRE,NH ,NEW HAMPSHIRE,53232,184670
NEW JERSEY,NJ ,NEW JERSEY,502980,1400579
NEW MEXICO,NM ,NEW MEXICO,211610,340365
NEW YORK,NY ,NEW YORK,1384268,2741185
NORTH CAROLINA,NC ,NORTH CAROLINA,878773,1548895
NORTH DAKOTA,ND ,NORTH DAKOTA,32395,106586
OHIO,OH ,OHIO,776616,1724810
OKLAHOMA,OK ,OKLAHOMA,413971,688511
OREGON,OR ,OREGON,287720,601318
PENNSYLVANIA,PA ,PENNSYLVANIA,786304,1743160
RHODE ISLAND,RI ,RHODE ISLAND,65641,141959
SOUTH CAROLINA,SC ,SOUTH CAROLINA,421296,756523
SOUTH DAKOTA,SD ,SOUTH DAKOTA,52455,133040
TENNESSEE,TN ,TENNESSEE,556263,995475
TEXAS,TX ,TEXAS,3074591,5233765
UTAH,UT ,UTAH,234776,635577
VERMONT,VT ,VERMONT,32979,87311
VIRGINIA,VA ,VIRGINIA,514785,1280381
WASHINGTON,WA ,WASHINGTON,493292,1073638
WEST VIRGINIA,WV ,WEST VIRGINIA,129309,280310
WISCONSIN,WI ,WISCONSIN,361200,871432
WYOMING,WY ,WYOMING,35393,94067


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Public Elementary/Secondary School Universe Survey Free Lunch Data" 2014-15 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey" 2018-19 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Directory Data" 2014-15 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Membership Data" 2014-15 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
