ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Students [State] 2015-16,Free and Reduced Lunch Students [Public School] 2015-16,Pupil/Teacher Ratio [State] 2015-16,Full-Time Equivalent (FTE) Teachers [State] 2015-16,Total Staff [District] 2015-16,Instructional Coordinators [District] 2015-16,Instructional Aides [District] 2015-16,Full-Time Equivalent (FTE) Staff [State] 2015-16,Librarians [State] 2015-16,Guidance Counselors [State] 2015-16,Instructional Coordinators [State] 2015-16,Total Expenditures (TOTALEXP) [District Finance] 2015-16,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2015-16
ALABAMA,743789,379554,18.25,40766.22,‡,‡,‡,71628.43,956.50,1516.31,17.17,7864636000,10562
ALASKA,132477,56625,16.91,7832.15,16982.39,="0.00",2489.54,16982.39,117.99,308.43,–,2623014000,19779
ARIZONA,1109040,‡,23.13,47943.56,‡,‡,‡,103174.60,445.29,1228.01,623.89,9482835000,9086
ARKANSAS,492132,312477,13.75,35803.87,73658.20,996.02,8963.45,73658.20,948.15,1303.42,996.02,5544520000,11322
CALIFORNIA,6226737,3657659,23.63,263474.90,577733.13,22629.92,78943.16,577836.10,105.20,8799.50,22630.32,85327525000,13071
COLORADO,899112,376162,17.36,51798.13,‡,‡,‡,111939.20,582.97,2391.96,3335.17,10020497000,11164
CONNECTICUT,537933,203774,12.29,43772.31,97326.46,5116.72,16495.99,98179.14,759.58,1169.79,5217.15,10985483000,21822
DELAWARE,134847,50459,15.05,8961.71,17097.49,307.00,2126.53,17097.49,122.00,319.75,307.00,2218345000,15787
DISTRICT OF COLUMBIA,84024,62309,12.38,6789.09,14105.95,‡,‡,14105.93,99.35,171.58,402.76,2277771000,28001
FLORIDA,2792234,1642740,15.29,182586.30,345644.58,681.98,32095.82,345644.60,2060.59,5770.04,681.98,27945116000,10349
GEORGIA,1757237,1096426,15.55,113031.00,224487.70,3372.00,24507.70,224487.70,2085.90,3689.80,3372.00,19356755000,11015
