ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Students [State] 2015-16,Free and Reduced Lunch Students [Public School] 2015-16,Pupil/Teacher Ratio [State] 2015-16,Full-Time Equivalent (FTE) Teachers [State] 2015-16,Total Staff [District] 2015-16,Instructional Coordinators [District] 2015-16,Instructional Aides [District] 2015-16,Full-Time Equivalent (FTE) Staff [State] 2015-16,Librarians [State] 2015-16,Guidance Counselors [State] 2015-16,Instructional Coordinators [State] 2015-16,Total Expenditures (TOTALEXP) [District Finance] 2015-16,Total Expenditures (TE11+E4D+E7A1) per Pupil (MEMBR) [State Finance] 2015-16
HAWAII,181995,90298,15.49,11746.90,22596.30,615.50,2547.38,22596.30,160.00,634.20,615.50,2733094000,15017
IDAHO,292277,137160,18.67,15656.42,27186.26,241.00,2927.87,27186.26,47.65,500.11,241.00,2212651000,8312
ILLINOIS,2041779,1006936,15.71,129948.20,260402.01,‡,‡,260462.80,1644.80,3011.00,1600.00,33150170000,15908
INDIANA,1046757,504787,18.15,57674.85,152826.23,3995.48,17033.49,152826.20,692.20,1963.87,3995.48,12001326000,11148
IOWA,508014,207129,14.24,35687.49,72886.63,808.08,11900.11,72886.63,421.16,1218.31,808.08,6972412000,13232
KANSAS,495884,240209,12.39,40035.33,65603.41,936.31,8319.30,73271.51,630.30,1111.00,991.71,6134836000,12675
KENTUCKY,686598,408046,16.39,41902.11,97711.80,1597.96,12856.93,97711.80,1052.67,1553.42,1597.96,7786281000,11251
LOUISIANA,718711,419284,12.29,58469.25,107599.85,‡,13640.06,107599.90,1193.66,1828.19,1569.27,‡,12212
MAINE,181613,81172,12.22,14857.00,35241.10,426.80,5742.70,35241.10,194.80,564.20,426.80,2773125000,15070
MARYLAND,879601,395834,14.80,59414.16,116972.92,1640.76,11042.45,116972.80,1181.39,2361.32,1640.76,13992191000,16028
MASSACHUSETTS,964026,‡,13.39,71969.18,128291.39,429.46,25529.62,128290.80,658.69,2349.08,429.43,17675778000,17773
MICHIGAN,1536231,685306,18.25,84181.03,181465.66,1281.26,19856.37,181467.70,450.85,2063.60,1281.26,19461509000,12570
MINNESOTA,864384,329254,15.44,55985.23,117236.40,2731.31,18897.36,117236.40,587.51,1245.94,2731.31,13532993000,15379
MISSISSIPPI,487200,365109,15.14,32175.03,67757.05,707.66,8187.31,67757.05,808.12,1120.40,707.66,4631356000,9371
MISSOURI,919234,460004,13.59,67635.28,128938.14,1453.29,13801.96,128938.10,1391.13,2636.84,1453.29,11003685000,12011
MONTANA,145319,65095,13.96,10412.36,21329.50,163.17,2632.50,21329.50,367.63,448.86,163.17,1879789000,12875
NEBRASKA,316014,139569,13.56,23308.30,47291.81,807.70,6837.54,47291.81,549.55,830.98,807.70,4640422000,14567
NEVADA,467527,267801,20.59,22702.01,26429.51,–,–,26429.51,328.00,964.50,–,4605250000,9664
NEW HAMPSHIRE,182425,51343,12.35,14769.70,31975.40,‡,‡,31980.40,320.60,828.40,273.08,3124778000,16554
NEW JERSEY,1408845,514386,12.25,114968.50,236520.29,3964.29,37612.98,236558.30,1415.06,3816.40,3964.29,30473153000,20650
NEW MEXICO,335694,239540,15.45,21721.65,37572.54,385.48,5884.01,37572.54,232.47,713.10,385.48,3887353000,11556
NEW YORK,2711626,1316983,13.16,206086.10,372361.69,1673.74,43936.30,372692.50,2407.34,6932.52,1687.74,‡,24054
NORTH CAROLINA,1544934,886232,15.55,99354.57,190855.03,1226.01,21900.25,190855.00,2157.85,4124.16,1226.01,14911649000,9342
NORTH DAKOTA,108644,33695,11.82,9194.74,17983.32,224.89,2540.33,17983.32,191.54,358.58,224.89,1963630000,17296
OHIO,1716585,766460,16.87,101741.90,322611.18,2592.37,21600.54,322611.20,869.07,3880.67,2592.37,24512263000,13585
OKLAHOMA,692878,424665,16.32,42452.42,85914.69,339.48,10051.10,85914.69,1000.06,1611.15,339.48,6315294000,9134
OREGON,576407,282506,19.82,29086.10,65491.03,493.83,10365.95,65927.70,163.53,1127.14,493.83,7501954000,12660
PENNSYLVANIA,1717414,802045,14.21,120892.60,241505.60,1633.64,31329.00,241547.60,1719.26,4316.91,1633.64,32733856000,17172
RHODE ISLAND,142014,65995,13.36,10631.38,19467.81,186.72,2368.61,19482.81,193.22,335.17,186.72,2537587000,17642
SOUTH CAROLINA,763533,458287,15.20,50236.80,78102.80,1480.40,11143.40,78107.80,1086.50,2079.10,1482.40,9385221000,11979
SOUTH DAKOTA,134253,55715,13.93,9638.25,19543.17,207.85,2644.64,19543.17,101.18,345.51,207.85,1475864000,11062
TENNESSEE,1001235,573342,15.06,66488.00,128468.50,817.40,16417.40,128468.50,1724.80,2979.70,817.40,9680512000,9744
TEXAS,5301477,3123844,15.26,347328.60,690077.34,3839.89,66089.41,690077.30,4576.80,11942.71,3839.89,61361785000,11591
UTAH,647870,235880,22.85,28347.70,‡,‡,‡,56145.98,252.32,952.07,1985.61,5379027000,8374
VERMONT,87866,32354,10.54,8338.37,18183.12,265.11,3937.81,18183.12,209.38,450.53,265.11,2102745000,19750
VIRGINIA,1283590,523972,14.22,90255.26,178550.50,1840.19,19132.24,178550.50,1692.57,3334.32,1840.19,16497520000,12487
WASHINGTON,1087030,493019,18.76,57942.31,94352.65,‡,11730.72,94882.75,1108.12,2130.62,3324.08,15260917000,13949
WEST VIRGINIA,277452,137177,14.11,19664.32,38452.22,400.68,3663.07,38452.22,280.39,730.83,400.68,3341881000,12333
WISCONSIN,867800,342247,14.91,58184.60,101249.55,1311.85,9227.63,101249.60,913.90,1891.07,1311.85,11788616000,13472
WYOMING,94717,35473,12.38,7653.43,‡,‡,‡,17268.52,108.40,420.78,368.65,2034229000,21327


Data Source: U.S. Department of Education National Center for Education Statistics Common Core of Data (CCD) "Local Education Agency (School District) Universe Survey Staff Data" 2015-16 v.1a; "National Public Education Financial Survey (State Fiscal)" 2015-16 (FY 2016) v.1a; "Public Elementary/Secondary School Universe Survey Free Lunch Data" 2015-16 v.2a; "School District Finance Survey (F-33)" 2015-16 (FY 2016) v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey" 2018-19 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Membership Data" 2015-16 v.1a; "State Nonfiscal Public Elementary/Secondary Education Survey Staff Data" 2015-16 v.1a.

† indicates that the data are not applicable.
– indicates that the data are missing.
‡ indicates that the data do not meet NCES data quality standards.
