"","state","SETH","N","Teachers","AveChars","AveWords","AveHashTags","AveMentions","AveLinks","AveFollowers","AveFollows","AveRetweets","AveFavorites","Voices","Activity","VoicesPer","TweetsPer"
"1","AL","#aledchat",10967,47162,115.955958785447,16.3699279657153,1.49676301632169,1.0880824291055,0.43530591775326,1919.98586669098,959.538615847543,2.00063827847178,0.342299626151181,2477,0.232538908443238,2.12035113014715e-05,9.11826388255676e-05
"2","AR","#arkedchat",5130,34933,111.689668615984,16.0536062378168,1.52787524366472,1.03898635477583,0.289473684210526,2291.64366471735,1191.51539961014,1.66081871345029,0.364522417153996,1200,0.146852546302923,2.86262273494976e-05,0.000194931773879142
"3","AZ","#azedchat",462,48349,116.017316017316,15.1060606060606,2.69480519480519,1.06926406926407,0.662337662337662,1795.87445887446,1483.15800865801,1.51082251082251,0.106060606060606,184,0.00955552338207616,2.06829510434549e-05,0.00216450216450216
"4","CA","#caedchat",26489,259506,121.956661255616,16.6502321718449,2.33568651138208,1.15330892068406,0.60224999056212,2217.4093019744,1341.69153233418,4.17818717203367,0.265430933595077,6893,0.102074711182015,3.85347544950791e-06,3.77515194986598e-05
"5","CO","#coedchat",267,50157,129.232209737828,15.5505617977528,4.38951310861423,1.0187265917603,0.827715355805243,1941.29588014981,1559.43445692884,2.70411985018727,0.0936329588014981,136,0.00532328488545966,1.99373965747553e-05,0.00374531835205993
"6","CT","#ctedchat",1464,43443,115.911202185792,14.6837431693989,2.20901639344262,1.09357923497268,0.721994535519126,2943.36680327869,1124.63114754098,2.17827868852459,0.131830601092896,573,0.0336993301567571,2.30186681398614e-05,0.000683060109289617
"7","DE","#edude",2431,9388,126.495269436446,16.7021801727684,2.45495680789798,1.19374742904155,0.742904154668861,1902.94117647059,922.436857260387,1.50143973673385,0.067461949814891,695,0.258947592671496,0.000106518960374947,0.000411353352529823
"8","FL","#fledchat",9777,177853,111.762299273806,15.9653267873581,1.60499130612662,1.17438887184208,0.399611332719648,3021.20609593945,1783.23770072619,1.4627186253452,0.650404009409839,1897,0.0549723648181363,5.62262092851962e-06,0.000102280863250486
"9","GA","#gaed",7359,109411,108.714906916701,16.0937627395027,1.41405082212257,0.844951759749966,0.361733931240658,1379.51243375459,1037.78842233999,1.19296100013589,0.800788150563935,1520,0.0672601475171601,9.1398488269004e-06,0.00013588802826471
"10","HI","#edchathi",2500,11781,112.8852,14.7168,1.9452,1.1244,0.6204,2453.0204,1570.0872,0.9336,0.2092,494,0.212206094559036,8.48824378236143e-05,4e-04
"11","IA","#iaedchat",29715,35397,122.041965337372,16.882954736665,1.87689718997139,1.21484098939929,0.562443210499748,3151.36806326771,1550.69695440013,4.62439845196029,0.202490324751809,8469,0.839477921857785,2.82509817216148e-05,3.36530371866061e-05
"12","ID","#idedchat",7641,15002,111.368276403612,16.2758801204031,1.12001046983379,1.33359507917812,0.297474152597828,2109.94843606858,1164.7463682764,0.596257034419579,0.318806438947782,894,0.509332089054793,6.6657778962805e-05,0.000130872922392357
