"","state","SETH","N","Teachers","AveChars","AveWords","AveHashTags","AveMentions","AveLinks","AveFollowers","AveFollows","AveRetweets","AveFavorites","Voices","Activity","VoicesPer","TweetsPer"
"13","IL","#iledchat",10348,136355,121.159451101662,16.9328372632393,1.98676072671048,1.09412446849633,0.506764592191728,1986.8154232702,1388.2163703131,3.12040974101276,0.249710088906069,2530,0.0758901397088482,7.33379780719446e-06,9.66370313103981e-05
"14","IN","#inelearn",20820,59823,118.721421709894,16.3356388088377,1.58395773294909,1.13741594620557,0.574015369836695,1702.08073967339,979.127521613833,1.62291066282421,0.291450528338136,3102,0.348026678702171,1.67159788041389e-05,4.8030739673391e-05
"15","KS","#ksed",32315,38153,119.235927587808,17.5710351230079,1.88024137397493,0.936809531177472,0.380782918149466,980.423766052917,663.049543555624,3.59557481045954,0.0988395481974315,2838,0.846984509737111,2.62102586952533e-05,3.09453814018258e-05
"16","KY","#kyedchat",11133,41820,113.128267313393,16.1582682116231,1.48818826910985,1.16967573879457,0.386328932003952,1456.57917901734,988.797538848469,1.10141022186293,0.407437348423606,1601,0.266212338593974,2.39120038259206e-05,8.98230485942693e-05
"17","LA","#laedchat",941,46437,116.686503719447,16.2986184909671,2.00743889479277,0.904357066950053,0.578108395324123,2837.65462274176,1404.74601487779,1.19872476089267,0.24442082890542,263,0.020264013609837,2.15345521889872e-05,0.00106269925611052
"18","MA","#edchatma",11225,70490,122.495412026726,16.2978173719376,2.15144766146993,1.26031180400891,0.648195991091314,3685.95046770601,2397.08703786192,1.58841870824053,0.23011135857461,2951,0.159242445736984,1.41864094197759e-05,8.9086859688196e-05
"19","MD","#mdedchat",4112,58611,110.065904669261,15.8032587548638,1.1181906614786,0.955009727626459,0.331225680933852,1537.59071011673,1103.56906614786,0.739785992217899,0.398346303501945,794,0.0701574789715241,1.70616437187559e-05,0.000243190661478599
"20","ME","#edchatme",5795,14542,121.3494391717,17.3756686798965,1.3144089732528,1.18067299396031,0.378429680759275,1646.11095772217,998.29318377912,1.03244176013805,0.310440034512511,912,0.398500893962316,6.87663320038509e-05,0.000172562553925798
"21","MI","#miched",47728,85786,122.675913509889,16.5725360375461,2.82419125041904,1.42846966141468,0.694602748910493,1902.97565370432,1096.80569057995,2.96222343278579,0.179098223265169,7900,0.556361177814562,1.16569137155247e-05,2.09520616828696e-05
"22","MN","#mnedchat",1083,54413,126.067405355494,15.2659279778393,5.04247460757156,0.719298245614035,0.909510618651893,3231.30655586334,2193.24192059095,0.764542936288089,0.148661126500462,361,0.0199033319243563,1.83779611489901e-05,0.000923361034164358
"23","MO","#moedchat",31753,66651,120.39829307467,16.0490662299625,2.16562214593897,1.25616477183258,0.652127358044909,2185.09139293925,1427.58271659371,10.102132082008,0.184864422259314,9593,0.476406955634574,1.50035258285697e-05,3.14930872673448e-05
"24","MS","#msedchat",1277,32292,116.602192638998,16.1268598277212,1.78935003915427,1.00939702427565,0.635865309318716,1921.87470634299,1576.59592795615,1.99843382928739,0.184808144087706,319,0.0395453982410504,3.09674222717701e-05,0.000783085356303837
"25","MT","#mtedchat",11666,10310,115.211726384365,16.1584947711298,1.16200925767187,1.20024001371507,0.402965883764787,2462.59163380765,1561.17752442997,1.96365506600377,0.340133721926967,2019,1.13152279340446,9.69932104752667e-05,8.57191839533688e-05
"26","NC","#nced",22427,99327,122.143398582066,16.720247915459,2.34248896419494,1.02461318945913,0.701609666919338,2248.3845810853,1221.83234494137,2.32817585945512,0.151335443884603,5244,0.225789563764133,1.00677559978656e-05,4.4589111339011e-05
"27","ND","#ndedchat",6384,8805,111.180921052632,16.4508145363409,1.19141604010025,0.74937343358396,0.416823308270677,1649.80639097744,1164.9609962406,2.16071428571429,0.458803258145363,1279,0.725042589437819,0.000113571834185122,0.000156641604010025
"28","NE","#nebedchat",7342,22401,109.622991010624,16.0483519476982,1.32811223099973,0.881503677472078,0.343366929991828,1641.02206483247,1060.88422773086,1.16194497412149,0.352083900844457,1233,0.327753225302442,4.46408642471318e-05,0.000136202669572324
"29","NH","#nhed",7307,14826,109.166552620775,16.5348296154373,1.16408922950595,1.12139044751608,0.365813603394006,2027.80292869851,1762.66292596141,1.11126317230053,0.623237990967565,1238,0.492850397949548,6.74490759476595e-05,0.000136855070480361
"30","NJ","#njed",27247,114581,120.584651521268,16.0089918156127,2.81990677872793,1.39307079678497,0.761588431753955,2353.95243513047,1200.08536719639,3.70554556464932,0.158402759936874,6420,0.237796842408427,8.72745044990007e-06,3.67012882152164e-05
"31","NV","#nved",8161,21921,126.512804803333,18.0868766082588,2.5564269084671,1.45741943389291,0.39713270432545,1782.20205857125,1174.97745374341,1.5460115181963,0.14973655189315,1110,0.372291410063409,4.56183568267871e-05,0.000122534003185884
"32","NY","#nyedchat",16166,206693,126.40183100334,16.3076827910429,2.53154769268836,1.67611035506619,0.681306445626624,2687.95051342323,1501.80564146975,7.02350612396387,0.187615984164295,5252,0.0782126148442376,4.8380932107038e-06,6.18582209575653e-05
"33","OH","#ohedchat",8296,106010,118.118731918997,16.5049421407907,1.8395612343298,1.06002892960463,0.562560270009643,1311.1762295082,853.131147540984,2.66152362584378,0.255665380906461,2114,0.0782567682294123,9.43307235166494e-06,0.000120540019286403
"34","OK","#oklaed",65155,41983,121.011894712608,16.9565037218939,1.24510781981429,1.43204665796946,0.580293147110736,1853.55463126391,1172.1901926176,4.66354078735323,0.203299823497813,8452,1.55193768906462,2.38191649000786e-05,1.53480162688972e-05
"35","OR","#oredu",1121,26733,121.736842105263,15.8421052631579,2.11329170383586,1.19982158786797,0.7992863514719,1719.40856378234,850.809991079393,1.13916146297948,0.115075825156111,303,0.0419331911869225,3.74069502113493e-05,0.000892060660124889
"36","PA","#paedchat",918,121330,124.741830065359,15.8649237472767,2.81808278867102,1.17429193899782,0.751633986928105,1721.17102396514,1098.19607843137,2.06427015250545,0.11437908496732,390,0.00756614192697602,8.24198466990851e-06,0.00108932461873638
"37","RI","#edchatri",10295,9824,121.299368625546,16.7100534239922,1.39825157843613,1.23477416221467,0.538416707139388,1445.16338028169,974.074210781933,1.47100534239922,0.344536182612919,2069,1.04794381107492,0.000101791530944625,9.71345313258863e-05
"38","SC","#sced",6315,48151,120.402375296912,16.2736342042755,2.21203483768804,1.2818685669042,0.651781472684085,1688.53206650831,1051.99255740301,3.91908155186065,0.182422802850356,1809,0.131149924196798,2.0768000664576e-05,0.000158353127474268
"39","SD","#sdedchat",3571,9510,119.579109493139,17.2352282273873,1.89918790254831,0.930271632595912,0.473256790814898,1303.03724446934,1061.56818818258,0.535424250910109,0.223466816017922,559,0.375499474237645,0.00010515247108307,0.000280033604032484
"40","TN","#tnedchat",4884,65847,108.2414004914,15.6187551187551,1.27579852579853,1.06470106470106,0.335585585585586,2456.86138411138,1991.6291973792,1.02825552825553,0.478501228501229,991,0.0741719440521208,1.51867207313925e-05,0.000204750204750205
"41","TX","#txeduchat",30669,334580,122.711532818155,16.3387459649809,2.3248883237145,1.23616681339463,0.665329811862141,2473.73158564022,1654.72323844925,4.87606377775604,0.221591835403828,8597,0.091664175981828,2.9888218064439e-06,3.26062147445303e-05
"42","UT","#uted",15071,27247,122.957667042665,17.4706389755159,2.30130714617477,1.03463605600159,0.555968416163493,3216.6588812952,1826.13960586557,2.19149359697432,0.0776988919116183,1536,0.553125114691526,3.67012882152164e-05,6.63525977042001e-05
"43","VA","#vachat",5560,90098,113.101258992806,16.4508992805755,1.48579136690647,0.964028776978417,0.366726618705036,1865.95683453237,1180.37625899281,1.24208633093525,0.386151079136691,1198,0.061710581810917,1.10990255055606e-05,0.000179856115107914
"44","VT","#vted",16492,8375,116.349078341014,15.4530681542566,2.19767159835072,1.24654377880184,0.754911472228959,1431.56633519282,850.029893281591,0.934271161775406,0.137278680572399,2155,1.96919402985075,0.000119402985074627,6.06354596167839e-05
"45","WA","#wateachlead",7522,54867,124.5737835682,16.8710449348577,1.84498803509705,1.51010369582558,0.509571922361074,1177.82411592662,1088.25219356554,1.43352831693698,0.317867588407338,960,0.137095157380575,1.82258917017515e-05,0.00013294336612603
"46","WI","#wischat",7848,57980,118.096457696228,17.1662844036697,1.85741590214067,0.97579001019368,0.428516819571865,2339.51694699286,1686.11595310907,1.74821610601427,0.232798165137615,1753,0.135357019661952,1.7247326664367e-05,0.000127420998980632
"47","WY","#wyoedchat",10567,7555,112.650610390839,15.3557301031513,1.19475726317782,1.70123970852654,0.406927226270465,1619.78385539888,1393.21321093972,1.01693952872149,0.261001230245103,1212,1.39867637326274,0.000132362673726009,9.46342386675499e-05
